,secuencia,aglomerative-2,aglomerative-3,aglomerative-4,aglomerative-5,aglomerative-6,aglomerative-7,aglomerative-8,aglomerative-9,aglomerative-10,aglomerative-11,aglomerative-12,aglomerative-13,aglomerative-14,aglomerative-15,aglomerative-16,aglomerative-17,aglomerative-18,aglomerative-19,aglomerative-20,aglomerative-21,aglomerative-22,aglomerative-23,aglomerative-24,aglomerative-25,aglomerative-26,aglomerative-27,aglomerative-28,aglomerative-29
208,sequence_51022,1,1,0,2,2,0,4,4,1,0,7,7,7,7,7,7,7,3,1,0,4,4,1,0,8,8,8,8
209,sequence_51057,1,1,0,2,2,0,3,3,3,3,1,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,28
210,sequence_51056,1,1,0,2,2,0,3,3,3,3,1,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,28
211,sequence_51055,1,1,0,2,2,0,3,3,3,3,1,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,28
212,sequence_51142,0,2,2,0,0,2,2,0,4,1,0,3,1,0,6,6,6,6,6,6,6,6,6,6,6,6,2,0
213,sequence_50982,1,1,0,2,2,0,3,3,3,3,1,0,8,8,8,8,8,8,3,3,3,3,3,3,1,0,14,14
214,sequence_51132,0,2,2,0,0,2,2,0,9,9,9,9,9,9,9,9,9,9,9,4,1,1,0,9,9,4,4,4
215,sequence_51197,0,2,2,0,0,2,2,0,9,9,9,9,9,9,9,9,9,9,9,4,1,1,0,9,9,4,4,4
216,sequence_51004,1,1,0,2,2,0,3,3,3,3,1,0,8,8,8,8,8,8,3,3,3,3,3,3,1,0,27,27
217,sequence_50968,1,1,0,2,2,0,4,4,1,0,7,7,7,7,7,7,7,3,1,0,21,21,21,21,21,21,21,21
218,sequence_51200,0,2,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,0,6
219,sequence_50976,1,1,0,1,1,1,0,2,2,2,2,2,2,2,0,16,16,16,16,16,16,16,16,16,16,16,16,16
220,sequence_50977,1,1,0,1,1,1,0,2,2,2,2,2,2,2,0,10,10,10,10,10,10,10,10,10,10,10,10,10
221,sequence_51039,1,1,0,2,2,0,4,4,1,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
222,sequence_51126,0,2,2,0,0,2,2,0,9,9,9,9,9,9,9,9,9,9,9,4,1,1,0,24,24,24,24,24
223,sequence_51143,0,2,2,0,0,2,2,0,4,1,0,3,1,0,6,6,6,6,6,6,6,6,6,6,6,6,2,0
224,sequence_50981,1,1,0,1,1,1,0,2,2,2,2,2,2,2,0,16,16,16,16,16,16,16,16,16,16,16,16,16
225,sequence_50971,1,1,0,2,2,0,3,3,3,3,1,0,8,8,8,8,8,8,3,3,3,3,3,3,1,0,14,14
226,sequence_51047,1,1,0,2,2,0,3,3,3,3,1,0,8,8,8,8,8,8,3,3,3,3,3,3,1,0,14,14
227,sequence_50964,1,1,0,1,1,1,0,2,2,2,2,2,2,2,0,16,16,16,16,16,16,16,16,16,16,16,16,16
228,sequence_51049,1,1,0,2,2,0,3,3,3,3,1,0,8,8,8,8,8,8,3,3,3,3,3,3,1,0,27,27
229,sequence_32173,0,0,3,3,3,3,7,7,7,7,3,1,0,4,4,1,1,0,8,8,8,8,8,8,3,3,3,3
230,sequence_50983,1,1,0,2,2,0,4,4,1,0,7,7,7,7,7,7,7,3,1,0,21,21,21,21,21,21,21,21
231,sequence_51044,1,1,0,2,2,0,4,4,1,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
232,sequence_51006,1,1,0,2,2,0,4,4,1,0,7,7,7,7,7,7,7,3,1,0,4,4,1,0,8,8,8,8
233,sequence_51201,0,2,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,0,6
234,sequence_51036,1,1,0,2,2,0,4,4,1,0,7,7,7,7,7,7,7,3,1,0,4,4,1,0,25,25,25,25
235,sequence_50967,1,1,0,2,2,0,4,4,1,0,7,7,7,7,7,7,7,3,1,0,4,4,1,0,8,8,8,8
236,sequence_32161,0,0,3,3,3,3,7,7,7,7,3,1,0,4,4,1,1,0,8,8,8,8,8,8,3,3,3,3
237,sequence_32144,0,0,3,3,3,3,7,7,7,7,3,1,0,14,14,14,14,14,14,14,14,14,14,14,14,14,6,13
238,sequence_51139,0,2,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,0,2
239,sequence_51153,0,2,2,0,0,2,2,0,4,1,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
240,sequence_32145,0,0,3,3,3,3,7,7,7,7,3,1,0,14,14,14,14,14,14,14,14,14,14,14,14,14,6,13
241,sequence_50985,1,1,0,2,2,0,4,4,1,0,7,7,7,7,7,7,7,3,1,0,4,4,1,0,8,8,8,8
242,sequence_32153,0,0,3,3,3,3,7,7,7,7,3,1,0,14,14,14,14,14,14,14,14,14,14,14,14,14,6,13
243,sequence_50986,1,1,0,2,2,0,4,4,1,0,7,7,7,7,7,7,7,3,1,0,4,4,1,0,8,8,8,8
244,sequence_51042,1,1,0,2,2,0,3,3,3,3,1,0,8,8,8,8,8,8,3,3,3,3,3,3,1,0,27,27
245,sequence_51024,1,1,0,2,2,0,3,3,3,3,1,0,8,8,8,8,8,8,3,3,3,3,3,3,1,0,27,27
246,sequence_51037,1,1,0,2,2,0,4,4,1,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
247,sequence_51146,0,2,2,0,0,6,6,6,6,6,6,6,6,6,2,2,0,15,15,15,15,15,15,15,15,15,15,15
